DISTRICT,YEARS,OFFGUIDE,SENTTCAP,LOSS1
41,4,17,13,NA
49,7,21,40,NA
66,6,25,15,NA
69,5,10,235,NA
62,2,13,21,NA
13,3,13,37,NA
66,7,10,6,NA
70,2,13,13,NA
41,4,10,0.03,NA
85,6,17,24,NA
19,3,16,18.49,42951
30,5,17,0.33,NA
73,7,10,188,NA
41,4,10,12.03,NA
45,2,16,NA,9999999997
54,4,22,300,NA
34,2,13,46,NA
70,3,17,3.91,NA
48,2,13,37,NA
47,3,16,NA,8500
70,4,10,27,NA
49,6,13,24,NA
70,5,17,3.38,NA
41,2,17,9,NA
70,4,17,4.83,NA
41,4,17,3,NA
70,7,10,135,NA
8,2,10,144,NA
70,5,17,18,NA
70,4,17,18,NA
85,6,4,84,NA
85,5,27,120,NA
8,3,13,48,NA
70,4,17,3.65,NA
70,6,17,2.99,NA
49,7,26,151,1145
70,2,17,3.84,NA
73,3,21,NA,NA
70,1,17,5.45,NA
4,4,16,NA,23172
84,5,13,77,NA
82,6,17,6,NA
41,7,17,13,NA
15,2,13,37,NA
72,6,10,94,NA
87,5,10,132,NA
41,6,17,24,NA
70,5,17,6,NA
43,6,10,230,NA
68,3,10,140,NA
70,4,17,10,NA
88,7,13,NA,NA
70,6,17,2.92,NA
70,3,17,5.88,NA
70,5,17,12.03,NA
74,3,10,46,NA
69,4,16,NA,960
69,5,16,NA,960
51,4,10,60,NA
40,6,13,36,NA
70,6,17,7.65,NA
51,3,10,60,NA
87,3,1,210,NA
22,2,30,NA,NA
31,4,17,21,NA
31,4,13,80,NA
9,3,13,37,NA
16,6,10,12.03,NA
20,3,13,70,NA
31,7,10,70,NA
70,5,17,NA,NA
41,3,17,12.03,NA
51,5,13,84,NA
51,3,10,135,NA
68,2,10,15,NA
45,6,17,3.69,NA
70,5,10,34,NA
90,4,10,24,NA
62,6,30,NA,NA
73,4,17,48,NA
81,6,27,240,NA
70,2,10,30,NA
41,3,17,15,NA
70,7,17,7,NA
52,3,13,51,NA
70,7,17,3.49,NA
41,5,17,21,NA
74,6,17,0.3,NA
70,6,17,12.03,NA
39,5,13,78,NA
31,6,17,0.03,NA
70,2,17,3.92,NA
79,6,26,51,NA
29,3,10,211,NA
34,6,7,180,NA
14,3,10,60,NA
41,3,17,6.41,NA
74,6,16,0.03,9999999997
70,2,17,NA,NA
72,4,10,32,NA
70,5,17,15,NA
13,7,10,42,451328
31,6,17,0.03,NA
74,2,17,13.03,NA
49,6,13,264,NA
20,3,13,57,NA
22,2,16,NA,NA
61,5,10,84,NA
84,3,26,60,47
52,4,10,36,NA
70,6,17,18,NA
56,6,10,240,NA
69,6,27,24,NA
70,7,17,18,NA
70,6,4,24.54,NA
70,5,17,6,NA
40,6,13,33,NA
69,2,17,0.03,NA
70,4,17,2.62,NA
70,6,17,30,NA
22,2,16,NA,NA
70,6,17,4.59,NA
70,6,17,12.03,NA
70,6,17,6,NA
17,4,10,130,NA
51,6,13,168,NA
70,2,17,12.03,NA
29,5,10,96,NA
45,7,10,54,NA
53,5,13,102,NA
74,6,16,1.28,9999999997
74,2,17,37,NA
25,5,10,140,NA
33,6,27,360,NA
66,4,7,48,NA
48,3,13,0.03,NA
70,6,17,8,NA
15,5,10,96,NA
74,3,17,8,NA
45,6,10,NA,NA
33,4,10,100,NA
14,6,10,60,NA
54,7,10,121,NA
4,4,22,77.72,NA
85,1,4,NA,NA
46,1,10,108,NA
84,5,17,15,NA
39,6,21,24.49,20737
84,2,17,30,NA
70,1,17,NA,NA
48,5,16,18,200000
84,6,17,2.85,NA
47,3,10,30,NA
6,6,10,46,NA
63,2,13,39,NA
84,3,10,6.64,NA
30,6,16,12.03,2766218
47,7,16,6,8347
8,3,16,NA,9999999997
8,6,19,60,NA
84,4,17,6,NA
12,4,7,120,0
84,1,10,10.62,NA
51,7,7,144,NA
72,7,10,12.03,NA
47,4,10,72,NA
8,6,17,24,NA
30,3,16,12.03,44187
4,4,16,NA,9999999997
26,4,10,70,NA
31,7,29,15,381418
31,5,10,135,NA
8,3,13,207,NA
42,1,17,8,NA
84,6,17,10,NA
12,6,12,0.03,1563800
31,6,10,135,NA
76,6,10,70,NA
84,7,17,3.35,NA
65,6,10,100,NA
30,4,16,240,21500000
30,4,10,10,NA
47,7,13,16,NA
76,6,13,120,NA
41,6,17,3.98,NA
41,2,17,4.53,NA
41,6,17,51,NA
47,4,10,21,NA
