PRIMARY OFFENSE,TOTAL,WHITE_N,WHITE_%,BLACK_N,BLACK_%,HISPANIC_N,HISPANIC_%,OTHER_N,OTHER_%
TOTAL,73381,17301,23.6,14878,20.3,38142,52.0,3060,4.2
Murder,75,24,32.0,4,5.3,18,24.0,29,38.7
Manslaughter,49,0,0.0,1,2.0,3,6.1,45,91.8
Kidnapping/Hostage Taking,49,11,22.4,20,40.8,14,28.6,4,8.2
Sexual Abuse,545,191,35.0,117,21.5,64,11.7,173,31.7
Assault,748,186,24.9,98,13.1,121,16.2,343,45.9
Robbery,781,324,41.5,350,44.8,81,10.4,26,3.3
Arson,54,25,46.3,13,24.1,5,9.3,11,20.4
Drugs - Trafficking,21287,5224,24.5,5271,24.8,10124,47.6,668,3.1
Drugs - Communication Facility,340,100,29.4,98,28.8,127,37.4,15,4.4
Drugs - Simple Possession,1915,169,8.8,81,4.2,1623,84.8,42,2.2
Firearms,7900,2124,26.9,3843,48.6,1710,21.6,223,2.8
Burglary/B&E,37,6,16.2,4,10.8,6,16.2,21,56.8
Auto Theft,86,28,32.6,24,27.9,33,38.4,1,1.2
Larceny,1288,578,44.9,393,30.5,204,15.8,113,8.8
Fraud,7483,3109,41.5,2289,30.6,1577,21.1,508,6.8
Embezzlement,327,199,60.9,57,17.4,36,11.0,35,10.7
Forgery/Counterfeiting,708,289,40.8,283,40.0,110,15.5,26,3.7
Bribery,241,92,38.2,54,22.4,73,30.3,22,9.1
Tax,645,400,62.0,123,19.1,64,9.9,58,9.0
