Year,Type of Crime,Mean Months,Median Months,N
2021,Administration of Justice,13,8,512
2021,Antitrust,3,3,6
2021,Arson,63,48,79
2021,Assault,57,36,668
2021,Bribery/Corruption,20,12,247
2021,Burglary/Trespass,23,14,64
2021,Drug Possession,1,0,309
2021,Environmental,2,0,173
2021,Extortion/Racketeering,25,15,116
2021,Food and Drug,9,1,47
2021,Forgery/Counter/Copyright,16,12,137
2021,Individual Rights,32,3,69
2021,Kidnapping,166,123,92
2021,Manslaughter,69,59,56
2021,Murder,244,231,257
2021,National Defense,37,26,217
2021,Obscenity/Other Sex Offenses,22,18,298
2021,Stalking/Harassing,26,18,219
2021,Tax,14,12,421
2021,Other,2,0,782
